"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
1,7,1,0,0,5,100,0.417183176051894,0,0.503164378652362,9.01898627191417,9.52215065056653,6
3,7,1,0,0,5,100,0.218476313021889,0,0.506241273223783,10.0249650928951,11.5436889125665,8
7,7,1,0,0,5,100,0.976364069595681,6.72003297297492,0.496230068825645,17.3760263783799,14.1296038871845,12
12,7,1,0,0,5,100,0.912730697968289,10.4400017165483,0.467649714111648,23.0137528026804,18.1855476554719,17
15,7,1,0,0,5,100,0.844620773842869,12.0000155902253,0.434519747914254,26.1238544888662,20.6416351173547,20
0,12,1,0,0,5,100,0.99009900990099,6.83053888394562e-05,0.505,11.0600546443111,11.0599863389222,5
1,12,1,0,0,5,100,0.489275951902336,0,0.503460027929398,11.5380603072234,12.0415203351528,6
3,12,1,0,0,5,100,0.32594076788591,0,0.505925551528041,12.5533299637524,14.0711066183365,8
7,12,1,0,0,5,100,0.14743305012589,0,0.500086298492646,14.5004314924632,18.0010355819118,12
12,12,1,0,0,5,100,0.983041944379522,11.7600744153113,0.501479665741449,26.4080595322491,20.6657411058351,17
15,12,1,0,0,5,100,0.968262209187397,14.2500350092482,0.494249157278937,29.9172805355618,23.0809828854976,20
0,15,1,0,0,5,100,0.990069699169119,0,0.505005217831125,12.5750782674669,12.5750782674669,5
1,15,1,0,0,5,100,0.51563656891308,0,0.50348851968773,13.0488392756282,13.5523277953159,6
3,15,1,0,0,5,100,0.364190200616295,0,0.505828253035041,14.0699390364205,15.5874237955256,8
7,15,1,0,0,5,100,0.201814650905017,0,0.501687330982767,16.0134986478621,19.5253099647415,12
12,15,1,0,0,5,100,0.0577857618029857,0,0.507869244760756,18.5236077342823,24.6180386714113,17
15,15,1,0,0,5,100,0.978864997537883,14.5500231737578,0.499424719114105,31.6400185390062,24.58136615196,20
0,1,0,0.1,0,5,100,0.309790506124229,0,0.630961411086517,5.53096141108652,5.63096141108652,5
1,1,0,0.1,0,5,100,0,0,0,5.9,6,6
3,1,0,0.1,0,5,100,0,0,0,7.9,8,8
7,1,0,0.1,0,5,100,0,0,0,11.9,12,12
12,1,0,0.1,0,5,100,0,0,0,16.9,17,17
15,1,0,0.1,0,5,100,0,0,0,19.9,20,20
0,3,0,0.1,0,5,100,0.463937848719771,0,0.576832874381967,6.6304986231459,6.7304986231459,5
1,3,0,0.1,0,5,100,0.206146605885829,0,0.576485809132454,7.05297161826491,7.72945742739736,6
3,3,0,0.1,0,5,100,0,0,0,7.9,8,8
7,3,0,0.1,0,5,100,0,0,0,11.9,12,12
12,3,0,0.1,0,5,100,0,0,0,16.9,17,17
15,3,0,0.1,0,5,100,0,0,0,19.9,20,20
0,7,0,0.1,0,5,100,0.558741363135952,0,0.553661751738826,8.77563226217178,8.87563226217178,5
1,7,0,0.1,0,5,100,0.36367568339267,0,0.541344634464546,9.14806780678728,9.78941244125182,6
3,7,0,0.1,0,5,100,0.114162978528452,3.73898097620183,0.671839409202387,9.83956144156918,11.9550796691763,8
7,7,0,0.1,0,5,100,0,0,0,11.9,12,12
12,7,0,0.1,0,5,100,0,0,0,16.9,17,17
15,7,0,0.1,0,5,100,0,0,0,19.9,20,20
0,12,0,0.1,0,5,100,0.609243230551749,0,0.543780377579955,11.4253645309595,11.5253645309595,5
1,12,0,0.1,0,5,100,0.443315116453875,0,0.531010968866051,11.7411206575266,12.3721316263926,6
3,12,0,0.1,0,5,100,0.281497557614974,1.25407841648468,0.55117426352817,12.6097526884566,14.3632754790411,8
7,12,0,0.1,0,5,100,0.0107651741117157,15.7018527859967,0.891178897819967,13.2155239319005,19.5537762166403,12
12,12,0,0.1,0,5,100,0,0,0,16.9,17,17
15,12,0,0.1,0,5,100,0,0,0,19.9,20,20
0,15,0,0.1,0,5,100,0.628473453414125,0,0.540218680060389,13.0032802009058,13.1032802009058,5
1,15,0,0.1,0,5,100,0.472894995649557,0,0.52756536236114,13.285915073056,13.9134804354171,6
3,15,0,0.1,0,5,100,0.340545843977831,0,0.525666193872749,14.207994326473,15.8849929080912,8
7,15,0,0.1,0,5,100,0.0810806582214402,11.4121272986261,0.719704094101023,15.375207293083,20.5131359517901,12
12,15,0,0.1,0,5,100,8.99942749162082e-06,11.7944419434495,1,17.5411116113101,29.6411116113101,17
15,15,0,0.1,0,5,100,0,0,0,19.9,20,20
0,1,0.1,0.1,0,5,100,0.309790506124229,0,0.630961411086517,5.53096141108652,5.63096141108652,5
1,1,0.1,0.1,0,5,100,0,0,0,5.9,6,6
3,1,0.1,0.1,0,5,100,0,0,0,7.9,8,8
7,1,0.1,0.1,0,5,100,0,0,0,11.9,12,12
12,1,0.1,0.1,0,5,100,0,0,0,16.9,17,17
15,1,0.1,0.1,0,5,100,0,0,0,19.9,20,20
0,3,0.1,0.1,0,5,100,0.463937848719771,0,0.576832874381967,6.6304986231459,6.7304986231459,5
1,3,0.1,0.1,0,5,100,0.206146605885829,0,0.576485809132454,7.05297161826491,7.72945742739736,6
3,3,0.1,0.1,0,5,100,0,0,0,7.9,8,8
7,3,0.1,0.1,0,5,100,0,0,0,11.9,12,12
12,3,0.1,0.1,0,5,100,0,0,0,16.9,17,17
15,3,0.1,0.1,0,5,100,0,0,0,19.9,20,20
0,7,0.1,0.1,0,5,100,0.558741363135952,0,0.553661751738826,8.77563226217178,8.87563226217178,5
1,7,0.1,0.1,0,5,100,0.36367568339267,0,0.541344634464546,9.14806780678728,9.78941244125182,6
3,7,0.1,0.1,0,5,100,0.188960943196685,0,0.547929796031862,10.0917191841274,11.835508572223,8
7,7,0.1,0.1,0,5,100,0,0,0,11.9,12,12
12,7,0.1,0.1,0,5,100,0,0,0,16.9,17,17
15,7,0.1,0.1,0,5,100,0,0,0,19.9,20,20
0,12,0.1,0.1,0,5,100,0.609243230551749,0,0.543780377579955,11.4253645309595,11.5253645309595,5
1,12,0.1,0.1,0,5,100,0.443315116453875,0,0.531010968866051,11.7411206575266,12.3721316263926,6
3,12,0.1,0.1,0,5,100,0.300536339403226,0,0.529907586912352,12.6691682822112,14.3588910429482,8
7,12,0.1,0.1,0,5,100,0.129592873421191,0,0.541358516138588,14.6067925806929,18.4963021936631,12
12,12,0.1,0.1,0,5,100,0,0,0,16.9,17,17
15,12,0.1,0.1,0,5,100,0,0,0,19.9,20,20
0,15,0.1,0.1,0,5,100,0.628473453414125,0,0.540218680060389,13.0032802009058,13.1032802009058,5
1,15,0.1,0.1,0,5,100,0.472894995649557,0,0.52756536236114,13.285915073056,13.9134804354171,6
3,15,0.1,0.1,0,5,100,0.340545843977831,0,0.525666193872749,14.207994326473,15.8849929080912,8
7,15,0.1,0.1,0,5,100,0.18477143624601,0,0.530448123029811,16.1435849842385,19.9567218454472,12
12,15,0.1,0.1,0,5,100,0.000402395762382529,22.5603470509253,0.971910127951853,17.559695678763,27.0665825090927,17
15,15,0.1,0.1,0,5,100,0,0,0,19.9,20,20
0,1,0.4,0.1,0,5,100,0.309790506124229,0,0.630961411086517,5.53096141108652,5.63096141108652,5
