"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return"
0,7,0.9,0,0,5,100,0.990055043803184,0,0.504996521394425,20.3121699752322,5.7,5.7,5
1,7,0.9,0,0,5,100,0.478865458730519,0.0666789170963418,0.45875183269895,20.3121699752322,6.64667524196744,6.68666421658073,6
3,7,0.9,0,0,5,100,0.361983467075016,0.366703603504636,0.38089226930331,20.3121699752322,8.65669252245325,8.62665927929907,8
7,7,0.9,0,0,5,100,0.233358611097433,1.16671794042512,0.192790934249212,20.3121699752322,12.8167025582976,12.466656411915,12
12,7,0.9,0,0,5,100,0.119524256056101,1.46691528723053,0.0668646819185814,20.3121699752322,17.5268407010614,17.4066169425539,17
15,7,0.9,0,0,5,100,0.103793401088907,1.66667720130619,0.0578247067104919,20.3121699752322,20.3666740409143,20.3666645597388,20
0,12,0.9,0,0,5,100,0.990011077705377,0,0.50499367161734,20.3121699752322,6.2,6.2,5
1,12,0.9,0,0,5,100,0.542645550677498,0.0666990825601378,0.469288928324945,20.3121699752322,7.1466893577921,7.18666018348797,6
3,12,0.9,0,0,5,100,0.428766748883703,0.300027368422691,0.42713569101117,20.3121699752322,9.11001915789588,9.13999452631546,8
7,12,0.9,0,0,5,100,0.317569003329047,0.933417212995758,0.337310094497597,20.3121699752322,13.153392049097,13.0133165574008,12
12,12,0.9,0,0,5,100,0.231511257944016,2.00004807241283,0.194677585396627,20.3121699752322,18.400033650689,17.7999903855174,17
15,12,0.9,0,0,5,100,0.160061226226561,2.16682214141761,0.0966597384220488,20.3121699752322,21.2167754989923,20.7666355717165,20
0,15,0.9,0,0,5,100,0.990069699169119,0,0.505005217831125,20.3121699752322,6.5,6.5,5
1,15,0.9,0,0,5,100,0.566034766548324,0.066694532697772,0.472534484826557,20.3121699752322,7.44668617288844,7.48666109346045,6
3,15,0.9,0,0,5,100,0.451258948431579,0.266706226358246,0.441216700182118,20.3121699752322,9.38669435845077,9.44665875472835,8
7,15,0.9,0,0,5,100,0.349077619163211,0.855570117855564,0.370318396011607,20.3121699752322,13.3988990824989,13.3288859764289,12
12,15,0.9,0,0,5,100,0.272635983583305,1.86684005259751,0.270875298985364,20.3121699752322,18.6067880368183,18.1266319894805,17
15,15,0.9,0,0,5,100,0.231560173260851,2.50008913636361,0.1947570846102,20.3121699752322,21.7500623954545,20.9999821727273,20
0,1,1,0,0,5,100,0.990014741546861,0,0.504995614558071,20.3121699752322,5.1,5.1,5
1,1,1,0,0,5,100,0.248338004326905,0.160046646136486,0.200148399143258,20.3121699752322,6.12803731690919,6.0679906707727,6
3,1,1,0,0,5,100,0.0801038085063635,0.240025403256589,0.0455032837750728,20.3121699752322,7.99202032260527,8.05199491934868,8
7,1,1,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.4,12.1,12
12,1,1,0,0,5,100,0,0,0,20.3121699752322,15.9,17.1,17
15,1,1,0,0,5,100,0,0,0,20.3121699752322,18.6,20.1,20
0,3,1,0,0,5,100,0.990022069229829,0,0.504998760242892,20.3121699752322,5.3,5.3,5
1,3,1,0,0,5,100,0.405915775138441,0.110053699169456,0.399367135579857,20.3121699752322,6.28804295933556,6.27798926016611,6
3,3,1,0,0,5,100,0.246585291030959,0.480024387802869,0.202165613087374,20.3121699752322,8.38401951024229,8.20399512243943,8
7,3,1,0,0,5,100,0.105112564983619,0.700021702214842,0.0563161805283591,20.3121699752322,12.1600173617719,12.159995659557,12
12,3,1,0,0,5,100,0.0594059405940594,0.720047764317775,0.035,20.3121699752322,16.6760382114542,17.1559904471364,17
15,3,1,0,0,5,100,0,0,0,20.3121699752322,18.8,20.3,20
0,7,1,0,0,5,100,0.990055043803184,0,0.504996521394425,20.3121699752322,5.7,5.7,5
1,7,1,0,0,5,100,0.496662710592576,0.0800215815460763,0.449857916226058,20.3121699752322,6.66401726523686,6.68399568369079,6
3,7,1,0,0,5,100,0.373473572041263,0.360001990025056,0.377404319161038,20.3121699752322,8.68800159202005,8.62799960199499,8
7,7,1,0,0,5,100,0.235118776035546,1.05002501414356,0.194987734143103,20.3121699752322,12.8400200113148,12.4899949971713,12
12,7,1,0,0,5,100,0.131449031312038,1.44000471698851,0.0732414845259294,20.3121699752322,17.6520037735908,17.4119990566023,17
15,7,1,0,0,5,100,0.104422232583883,1.50001407873647,0.0582313148417676,20.3121699752322,20.4000112629892,20.3999971842527,20
0,12,1,0,0,5,100,0.990011077705377,0,0.50499367161734,20.3121699752322,6.2,6.2,5
1,12,1,0,0,5,100,0.542675789496055,0.0600292073626767,0.469284075024433,20.3121699752322,7.14802336589014,7.18799415852746,6
3,12,1,0,0,5,100,0.418959877505291,0.240009256934878,0.431887595137035,20.3121699752322,9.0920074055479,9.15199814861302,8
7,12,1,0,0,5,100,0.330235883894518,0.910029689730457,0.335196580596701,20.3121699752322,13.2280237517844,13.0179940620539,12
12,12,1,0,0,5,100,0.246976764773362,1.92002724492702,0.202821952216531,20.3121699752322,18.5360217959416,17.8159945510146,17
15,12,1,0,0,5,100,0.186641411886717,2.25004370432983,0.112690596051183,20.3121699752322,21.5000349634639,20.749991259134,20
0,15,1,0,0,5,100,0.990069699169119,0,0.505005217831125,20.3121699752322,6.5,6.5,5
1,15,1,0,0,5,100,0.558549869271947,0.0500500810535389,0.476344637240413,20.3121699752322,7.44004006484283,7.48998998378929,6
3,15,1,0,0,5,100,0.460758802443497,0.270056607098641,0.436836913874578,20.3121699752322,9.41604528567891,9.44598867858027,8
7,15,1,0,0,5,100,0.360913032818724,0.840003274349867,0.366990485873818,20.3121699752322,13.4720026194799,13.33199934513,12
12,15,1,0,0,5,100,0.286700651306807,1.80002739210918,0.272738996618746,20.3121699752322,18.7400219136873,18.1399945215782,17
15,15,1,0,0,5,100,0.233324895946176,2.25007117868781,0.19697561581007,20.3121699752322,21.8000569429502,21.0499857642624,20
0,1,0,0.5,0,5,100,0.0516077655826776,0,0.830509175677904,20.3121699752322,4.6,5.1,5
1,1,0,0.5,0,5,100,0,0,0,20.3121699752322,5.5,6.1,6
3,1,0,0.5,0,5,100,0,0,0,20.3121699752322,7.3,8.1,8
7,1,0,0.5,0,5,100,0,0,0,20.3121699752322,10.9,12.1,12
12,1,0,0.5,0,5,100,0,0,0,20.3121699752322,15.4,17.1,17
15,1,0,0.5,0,5,100,0,0,0,20.3121699752322,18.1,20.1,20
0,3,0,0.5,0,5,100,0.2279709046526,0,0.672470883823475,20.3121699752322,4.8,5.3,5
1,3,0,0.5,0,5,100,0.092956576613638,0,0.714120683572109,20.3121699752322,5.7,6.3,6
3,3,0,0.5,0,5,100,0,0,0,20.3121699752322,7.5,8.3,8
7,3,0,0.5,0,5,100,0,0,0,20.3121699752322,11.1,12.3,12
12,3,0,0.5,0,5,100,0,0,0,20.3121699752322,15.6,17.3,17
15,3,0,0.5,0,5,100,0,0,0,20.3121699752322,18.3,20.3,20
0,7,0,0.5,0,5,100,0.36218187419906,0,0.610219700217939,20.3121699752322,5.2,5.7,5
1,7,0,0.5,0,5,100,0.257540001733403,0,0.610786437799496,20.3121699752322,6.1,6.7,6
3,7,0,0.5,0,5,100,0.12429913495033,0,0.637446949415466,20.3121699752322,7.9,8.7,8
7,7,0,0.5,0,5,100,0,0,0,20.3121699752322,11.5,12.7,12
12,7,0,0.5,0,5,100,0,0,0,20.3121699752322,16,17.7,17
15,7,0,0.5,0,5,100,0,0,0,20.3121699752322,18.7,20.7,20
0,12,0,0.5,0,5,100,0.437040048437484,0,0.584973936743417,20.3121699752322,5.7,6.2,5
1,12,0,0.5,0,5,100,0.349298766910444,0,0.579844531054864,20.3121699752322,6.6,7.2,6
3,12,0,0.5,0,5,100,0.238936426478873,0,0.583619690095907,20.3121699752322,8.4,9.2,8
7,12,0,0.5,0,5,100,0.0922652826670887,0,0.619583556689596,20.3121699752322,12,13.2,12
12,12,0,0.5,0,5,100,0,0,0,20.3121699752322,16.5,18.2,17
15,12,0,0.5,0,5,100,0,0,0,20.3121699752322,19.2,21.2,20
0,15,0,0.5,0,5,100,0.465427124882202,0,0.576699004358907,20.3121699752322,6,6.5,5
1,15,0,0.5,0,5,100,0.383665418764209,0,0.570615416412565,20.3121699752322,6.9,7.5,6
3,15,0,0.5,0,5,100,0.281722914624659,0,0.570852204110412,20.3121699752322,8.7,9.5,8
7,15,0,0.5,0,5,100,0.146586224462994,0,0.587616149722555,20.3121699752322,12.3,13.5,12
12,15,0,0.5,0,5,100,0.0269093123690918,0,0.679665291553739,20.3121699752322,16.8,18.5,17
15,15,0,0.5,0,5,100,0,0,0,20.3121699752322,19.5,21.5,20
0,1,0.1,0.5,0,5,100,0.0516077655826776,0,0.830509175677904,20.3121699752322,4.6,5.1,5
1,1,0.1,0.5,0,5,100,0,0,0,20.3121699752322,5.5,6.1,6
3,1,0.1,0.5,0,5,100,0,0,0,20.3121699752322,7.3,8.1,8
7,1,0.1,0.5,0,5,100,0,0,0,20.3121699752322,10.9,12.1,12
12,1,0.1,0.5,0,5,100,0,0,0,20.3121699752322,15.4,17.1,17
15,1,0.1,0.5,0,5,100,0,0,0,20.3121699752322,18.1,20.1,20
0,3,0.1,0.5,0,5,100,0.2279709046526,0,0.672470883823475,20.3121699752322,4.8,5.3,5
1,3,0.1,0.5,0,5,100,0.092956576613638,0,0.714120683572109,20.3121699752322,5.7,6.3,6
3,3,0.1,0.5,0,5,100,0,0,0,20.3121699752322,7.5,8.3,8
7,3,0.1,0.5,0,5,100,0,0,0,20.3121699752322,11.1,12.3,12
12,3,0.1,0.5,0,5,100,0,0,0,20.3121699752322,15.6,17.3,17
15,3,0.1,0.5,0,5,100,0,0,0,20.3121699752322,18.3,20.3,20
0,7,0.1,0.5,0,5,100,0.36218187419906,0,0.610219700217939,20.3121699752322,5.2,5.7,5
1,7,0.1,0.5,0,5,100,0.257540001733403,0,0.610786437799496,20.3121699752322,6.1,6.7,6
3,7,0.1,0.5,0,5,100,0.12429913495033,0,0.637446949415466,20.3121699752322,7.9,8.7,8
7,7,0.1,0.5,0,5,100,0,0,0,20.3121699752322,11.5,12.7,12
12,7,0.1,0.5,0,5,100,0,0,0,20.3121699752322,16,17.7,17
15,7,0.1,0.5,0,5,100,0,0,0,20.3121699752322,18.7,20.7,20
0,12,0.1,0.5,0,5,100,0.437040048437484,0,0.584973936743417,20.3121699752322,5.7,6.2,5
1,12,0.1,0.5,0,5,100,0.349298766910444,0,0.579844531054864,20.3121699752322,6.6,7.2,6
3,12,0.1,0.5,0,5,100,0.238936426478873,0,0.583619690095907,20.3121699752322,8.4,9.2,8
7,12,0.1,0.5,0,5,100,0.0922652826670887,0,0.619583556689596,20.3121699752322,12,13.2,12
12,12,0.1,0.5,0,5,100,0,0,0,20.3121699752322,16.5,18.2,17
15,12,0.1,0.5,0,5,100,0,0,0,20.3121699752322,19.2,21.2,20
0,15,0.1,0.5,0,5,100,0.465427124882202,0,0.576699004358907,20.3121699752322,6,6.5,5
1,15,0.1,0.5,0,5,100,0.383665418764209,0,0.570615416412565,20.3121699752322,6.9,7.5,6
3,15,0.1,0.5,0,5,100,0.281722914624659,0,0.570852204110412,20.3121699752322,8.7,9.5,8
7,15,0.1,0.5,0,5,100,0.146586224462994,0,0.587616149722555,20.3121699752322,12.3,13.5,12
12,15,0.1,0.5,0,5,100,0.0269093123690918,0,0.679665291553739,20.3121699752322,16.8,18.5,17
15,15,0.1,0.5,0,5,100,0,0,0,20.3121699752322,19.5,21.5,20
0,1,0.4,0.5,0,5,100,0.0516142236330437,4.43112916166432e-05,0.830490612003055,20.3121699752322,4.60000886225832,5.09999113774168,5
1,1,0.4,0.5,0,5,100,0,0,0,20.3121699752322,5.5,6.1,6
3,1,0.4,0.5,0,5,100,0,0,0,20.3121699752322,7.3,8.1,8
7,1,0.4,0.5,0,5,100,0,0,0,20.3121699752322,10.9,12.1,12
12,1,0.4,0.5,0,5,100,0,0,0,20.3121699752322,15.4,17.1,17
15,1,0.4,0.5,0,5,100,0,0,0,20.3121699752322,18.1,20.1,20
0,3,0.4,0.5,0,5,100,0.2279709046526,0,0.672470883823475,20.3121699752322,4.8,5.3,5
1,3,0.4,0.5,0,5,100,0.092956576613638,0,0.714120683572109,20.3121699752322,5.7,6.3,6
3,3,0.4,0.5,0,5,100,0,0,0,20.3121699752322,7.5,8.3,8
7,3,0.4,0.5,0,5,100,0,0,0,20.3121699752322,11.1,12.3,12
12,3,0.4,0.5,0,5,100,0,0,0,20.3121699752322,15.6,17.3,17
15,3,0.4,0.5,0,5,100,0,0,0,20.3121699752322,18.3,20.3,20
0,7,0.4,0.5,0,5,100,0.36218187419906,0,0.610219700217939,20.3121699752322,5.2,5.7,5
1,7,0.4,0.5,0,5,100,0.257540001733403,0,0.610786437799496,20.3121699752322,6.1,6.7,6
3,7,0.4,0.5,0,5,100,0.12429913495033,0,0.637446949415466,20.3121699752322,7.9,8.7,8
7,7,0.4,0.5,0,5,100,0.0400245786217837,3.00000904080159,0.10905523853401,20.3121699752322,12.1000018081603,12.0999981918397,12
12,7,0.4,0.5,0,5,100,0,0,0,20.3121699752322,16,17.7,17
15,7,0.4,0.5,0,5,100,0,0,0,20.3121699752322,18.7,20.7,20
0,12,0.4,0.5,0,5,100,0.437040048437484,0,0.584973936743417,20.3121699752322,5.7,6.2,5
1,12,0.4,0.5,0,5,100,0.349298766910444,0,0.579844531054864,20.3121699752322,6.6,7.2,6
3,12,0.4,0.5,0,5,100,0.238936426478873,0,0.583619690095907,20.3121699752322,8.4,9.2,8
7,12,0.4,0.5,0,5,100,0.197714600892578,2.30005431750214,0.411262388452333,20.3121699752322,12.4600108635004,12.7399891364996,12
12,12,0.4,0.5,0,5,100,0.0825212924442607,4.25000388954435,0.115698605842392,20.3121699752322,17.3500007779089,17.3499992220911,17
15,12,0.4,0.5,0,5,100,0.0422794492085214,4.62502756376574,0.0769308321488013,20.3121699752322,20.1250055127531,20.2749944872469,20
0,15,0.4,0.5,0,5,100,0.465427124882202,0,0.576699004358907,20.3121699752322,6,6.5,5
1,15,0.4,0.5,0,5,100,0.383665418764209,0,0.570615416412565,20.3121699752322,6.9,7.5,6
3,15,0.4,0.5,0,5,100,0.281722914624659,0,0.570852204110412,20.3121699752322,8.7,9.5,8
7,15,0.4,0.5,0,5,100,0.146586224462994,0,0.587616149722555,20.3121699752322,12.3,13.5,12
12,15,0.4,0.5,0,5,100,0.131480505311507,3.35004655204273,0.305458671213142,20.3121699752322,17.4700093104085,17.8299906895915,17
15,15,0.4,0.5,0,5,100,0.081805186823834,4.62503729888104,0.103939599652478,20.3121699752322,20.4250074597762,20.5749925402238,20
0,1,0.9,0.5,0,5,100,0.0915595010839721,0.154727213860402,0.782507540201183,20.3121699752322,4.70830904970228,5.06905455722792,5
